sku,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label
H4501135,coche-teledirigido-ford-shelby-gt500.jpg,coche-teledirigido-ford-shelby-gt500 imagen,coche-teledirigido-ford-shelby-gt500.jpg,coche-teledirigido-ford-shelby-gt500 imagen,coche-teledirigido-ford-shelby-gt500.jpg,coche-teledirigido-ford-shelby-gt500 imagen
H4501136,coche-teledirigido-ford-shelby-gt500.jpg,coche-teledirigido-ford-shelby-gt500 imagen,coche-teledirigido-ford-shelby-gt500.jpg,coche-teledirigido-ford-shelby-gt500 imagen,coche-teledirigido-ford-shelby-gt500.jpg,coche-teledirigido-ford-shelby-gt500 imagen
H4501138,coche-teledirigido-mercedes-benz-gla-class.jpg,coche-teledirigido-mercedes-benz-gla-class imagen,coche-teledirigido-mercedes-benz-gla-class.jpg,coche-teledirigido-mercedes-benz-gla-class imagen,coche-teledirigido-mercedes-benz-gla-class.jpg,coche-teledirigido-mercedes-benz-gla-class imagen
H4501139,coche-teledirigido-mercedes-benz-gla-class.jpg,coche-teledirigido-mercedes-benz-gla-class imagen,coche-teledirigido-mercedes-benz-gla-class.jpg,coche-teledirigido-mercedes-benz-gla-class imagen,coche-teledirigido-mercedes-benz-gla-class.jpg,coche-teledirigido-mercedes-benz-gla-class imagen
H4501140,monster-truck-teledirigido.jpg,monster-truck-teledirigido imagen,monster-truck-teledirigido.jpg,monster-truck-teledirigido imagen,monster-truck-teledirigido.jpg,monster-truck-teledirigido imagen
H4530301,parking-infantil-en-maletin.jpg,parking-infantil-en-maletin imagen,parking-infantil-en-maletin.jpg,parking-infantil-en-maletin imagen,parking-infantil-en-maletin.jpg,parking-infantil-en-maletin imagen
H4530303,muneco-bebe-con-sonido-y-accesorios.jpg,muneco-bebe-con-sonido-y-accesorios imagen,muneco-bebe-con-sonido-y-accesorios.jpg,muneco-bebe-con-sonido-y-accesorios imagen,muneco-bebe-con-sonido-y-accesorios.jpg,muneco-bebe-con-sonido-y-accesorios imagen
H4530304,muneco-bebe-con-sonido-y-accesorios.jpg,muneco-bebe-con-sonido-y-accesorios imagen,muneco-bebe-con-sonido-y-accesorios.jpg,muneco-bebe-con-sonido-y-accesorios imagen,muneco-bebe-con-sonido-y-accesorios.jpg,muneco-bebe-con-sonido-y-accesorios imagen
H4530305,caja-registradora-de-juguete-con-sonido-y-accesorios.jpg,caja-registradora-de-juguete-con-sonido-y-accesorios imagen,caja-registradora-de-juguete-con-sonido-y-accesorios.jpg,caja-registradora-de-juguete-con-sonido-y-accesorios imagen,caja-registradora-de-juguete-con-sonido-y-accesorios.jpg,caja-registradora-de-juguete-con-sonido-y-accesorios imagen
H4530306,juego-de-hockey-para-ninos.jpg,juego-de-hockey-para-ninos imagen,juego-de-hockey-para-ninos.jpg,juego-de-hockey-para-ninos imagen,juego-de-hockey-para-ninos.jpg,juego-de-hockey-para-ninos imagen
H4530307,juego-de-habilidad-electronico-para-ninos.jpg,juego-de-habilidad-electronico-para-ninos imagen,juego-de-habilidad-electronico-para-ninos.jpg,juego-de-habilidad-electronico-para-ninos imagen,juego-de-habilidad-electronico-para-ninos.jpg,juego-de-habilidad-electronico-para-ninos imagen
H4530308,set-de-badminton-para-4-jugadores.jpg,set-de-badminton-para-4-jugadores imagen,set-de-badminton-para-4-jugadores.jpg,set-de-badminton-para-4-jugadores imagen,set-de-badminton-para-4-jugadores.jpg,set-de-badminton-para-4-jugadores imagen
H4530309,juego-de-baloncesto.jpg,juego-de-baloncesto imagen,juego-de-baloncesto.jpg,juego-de-baloncesto imagen,juego-de-baloncesto.jpg,juego-de-baloncesto imagen
H4530311,tienda-de-campana-iglu-animales.jpg,tienda-de-campana-iglu-animales imagen,tienda-de-campana-iglu-animales.jpg,tienda-de-campana-iglu-animales imagen,tienda-de-campana-iglu-animales.jpg,tienda-de-campana-iglu-animales imagen
H4530312,tienda-de-campana-iglu-animales.jpg,tienda-de-campana-iglu-animales imagen,tienda-de-campana-iglu-animales.jpg,tienda-de-campana-iglu-animales imagen,tienda-de-campana-iglu-animales.jpg,tienda-de-campana-iglu-animales imagen
H4530313,tienda-de-campana-iglu-animales.jpg,tienda-de-campana-iglu-animales imagen,tienda-de-campana-iglu-animales.jpg,tienda-de-campana-iglu-animales imagen,tienda-de-campana-iglu-animales.jpg,tienda-de-campana-iglu-animales imagen
H4530314,tienda-de-campana-iglu-animales.jpg,tienda-de-campana-iglu-animales imagen,tienda-de-campana-iglu-animales.jpg,tienda-de-campana-iglu-animales imagen,tienda-de-campana-iglu-animales.jpg,tienda-de-campana-iglu-animales imagen
H4600014,mochila-infantil-animales.jpg,mochila-infantil-animales imagen,mochila-infantil-animales.jpg,mochila-infantil-animales imagen,mochila-infantil-animales.jpg,mochila-infantil-animales imagen
H4600015,mochila-infantil-animales.jpg,mochila-infantil-animales imagen,mochila-infantil-animales.jpg,mochila-infantil-animales imagen,mochila-infantil-animales.jpg,mochila-infantil-animales imagen
H4600016,mochila-infantil-animales.jpg,mochila-infantil-animales imagen,mochila-infantil-animales.jpg,mochila-infantil-animales imagen,mochila-infantil-animales.jpg,mochila-infantil-animales imagen
H4600017,mochila-infantil-animales.jpg,mochila-infantil-animales imagen,mochila-infantil-animales.jpg,mochila-infantil-animales imagen,mochila-infantil-animales.jpg,mochila-infantil-animales imagen
H4600023,mochila-escolar.jpg,mochila-escolar imagen,mochila-escolar.jpg,mochila-escolar imagen,mochila-escolar.jpg,mochila-escolar imagen
